team_name_1,team_name_2,timestamp,team_1_adj_pts,team_2_adj_pts,total_adj_pts,team_1_win_percentage,team_2_win_percentage,team_1_actual_points,team_2_actual_points,total_actual_points,moneyline_prediction,actual_winner,moneyline_result,total_o_u_points,o_u_prediction,o_u_result,,
Memphis,LA Clippers,11/12/23 11:15,112.825,114.4,227.225,0.455,0.545,105,101,206,LA Clippers,Memphis,Loss,225.5,Over,Loss,,
Indiana,Philadelphia,11/12/23 11:15,114.783,118.33,233.112,0.401,0.599,126,137,263,Philadelphia,Philadelphia,Win,239,Under,Loss,,
Miami,San Antonio,11/12/23 11:15,116.178,111.236,227.415,0.636,0.364,118,113,231,Miami,Miami,Win,225.5,Over,Win,,
Detroit,Chicago,11/12/23 11:15,111.417,113.445,224.862,0.443,0.557,108,119,227,Chicago,Chicago,Win,219.5,Over,Win,,
Dallas,New Orleans,11/12/23 11:15,115.871,113.177,229.047,0.575,0.425,136,124,260,Dallas,Dallas,Win,233.5,Under,Loss,,
Denver,Houston,11/12/23 11:15,113.963,109.792,223.755,0.616,0.384,104,107,211,Denver,Houston,Loss,217.5,Over,Loss,,
Okla City,Phoenix,11/12/23 11:15,114.501,114.792,229.293,0.492,0.508,111,99,210,Phoenix,Okla City,Loss,235,Under,Win,,
Minnesota,Golden State,11/12/23 11:15,113.75,112.489,226.239,0.537,0.463,116,110,226,Minnesota,Minnesota,Win,223.5,Over,Win,,
Portland,LA Lakers,11/12/23 11:15,112.806,113.799,226.605,0.472,0.528,110,116,226,LA Lakers,LA Lakers,Win,218.5,Over,Win,,
Washington,Toronto,11/13/23 11:16,112.504,114.642,227.146,0.44,0.56,107,111,218,Toronto,Toronto,Win,228,Under,Win,,
Chicago,Milwaukee,11/13/23 11:16,113.945,114.383,228.328,0.488,0.512,109,118,227,Milwaukee,Milwaukee,Win,229,Under,Win,,
New York,Boston,11/13/23 11:16,110.34,112.787,223.127,0.432,0.568,98,114,212,Boston,Boston,Win,221,Over,Loss,,
Cleveland,Sacramento,11/13/23 11:16,113.118,112.379,225.497,0.521,0.479,120,132,252,Cleveland,Sacramento,Loss,223.5,Over,Win,,
Atlanta,Detroit,11/14/23 11:24,117.791,113.737,231.528,0.613,0.387,126,120,246,Atlanta,Atlanta,Win,233,Under,Loss,,
Miami,Charlotte,11/14/23 11:24,114.597,111.583,226.18,0.584,0.416,111,105,216,Miami,Miami,Win,224.5,Over,Loss,,
Indiana,Philadelphia,11/14/23 11:24,115.309,119.232,234.542,0.391,0.609,132,126,258,Philadelphia,Indiana,Loss,240.5,Under,Loss,,
San Antonio,Okla City,11/14/23 11:24,114.144,120.073,234.217,0.337,0.663,87,123,210,Okla City,Okla City,Win,237,Under,Win,,
Orlando,Brooklyn,11/14/23 11:24,111.721,111.417,223.137,0.509,0.491,104,124,228,Orlando,Brooklyn,Loss,217.5,Over,Win,,
Dallas,New Orleans,11/14/23 11:24,116.751,113.782,230.532,0.583,0.417,110,131,241,Dallas,New Orleans,Loss,239.5,Under,Loss,,
Portland,Utah,11/14/23 11:24,114.743,115.024,229.767,0.493,0.507,99,115,214,Utah,Utah,Win,228.5,Over,Loss,,
Minnesota,Golden State,11/14/23 11:24,113.975,112.599,226.574,0.539,0.461,104,101,205,Minnesota,Minnesota,Win,221.5,Over,Loss,,
Memphis,LA Lakers,11/14/23 11:24,113.988,113.575,227.563,0.511,0.489,107,134,241,Memphis,LA Lakers,Loss,226,Over,Win,,
Dallas,Washington,11/15/23 11:16,118.475,115.345,233.82,0.587,0.413,130,117,247,Dallas,Dallas,Win,243,Under,Loss,,
New York,Atlanta,11/15/23 11:16,114.454,113.576,228.03,0.524,0.476,116,114,230,New York,New York,Win,230,Under,Win,,
Boston,Philadelphia,11/15/23 11:16,114.492,112.834,227.326,0.547,0.453,117,107,224,Boston,Boston,Win,223.5,Over,Win,,
Milwaukee,Toronto,11/15/23 11:16,113.308,113.265,226.573,0.501,0.499,128,112,240,Milwaukee,Milwaukee,Win,226.5,Over,Win,,
Orlando,Chicago,11/15/23 11:16,111.545,111.125,222.669,0.512,0.488,96,94,190,Orlando,Orlando,Win,216,Over,Loss,,
Minnesota,Phoenix,11/15/23 11:16,112.823,110.935,223.758,0.553,0.447,115,133,248,Minnesota,Phoenix,Loss,227,Under,Loss,,
Sacramento,LA Lakers,11/15/23 11:16,116.022,115.423,231.445,0.517,0.483,125,110,235,Sacramento,Sacramento,Win,233,Under,Loss,,
Cleveland,Portland,11/15/23 11:16,112.809,109.875,222.684,0.582,0.418,109,95,204,Cleveland,Cleveland,Win,221.5,Over,Loss,,
Okla City,Golden State,11/16/23 11:16,115.289,114.773,230.062,0.515,0.485,128,109,237,Okla City,Okla City,Win,227.5,Over,Win,,
Milwaukee,Charlotte,11/17/23 11:16,118.268,114.391,232.66,0.608,0.392,130,99,229,Milwaukee,Milwaukee,Win,235.5,Under,Win,,
New York,Washington,11/17/23 11:16,115.144,111.31,226.453,0.608,0.392,120,99,219,New York,New York,Win,228,Under,Win,,
Philadelphia,Atlanta,11/17/23 11:16,117.249,115.129,232.378,0.559,0.441,126,116,242,Philadelphia,Philadelphia,Win,236,Under,Loss,,
Boston,Toronto,11/17/23 11:16,114.547,109.544,224.091,0.638,0.362,108,105,213,Boston,Boston,Win,218,Over,Loss,,
Detroit,Cleveland,11/17/23 11:16,109.899,113.81,223.709,0.39,0.61,100,108,208,Cleveland,Cleveland,Win,220.5,Over,Loss,,
Sacramento,San Antonio,11/17/23 11:16,120.46,113.856,234.316,0.68,0.32,129,120,249,Sacramento,Sacramento,Win,237.5,Under,Loss,,
Orlando,Chicago,11/17/23 11:16,110.895,110.475,221.37,0.511,0.489,103,97,200,Orlando,Orlando,Win,216,Over,Loss,,
Denver,New Orleans,11/17/23 11:16,114.499,110.681,225.18,0.607,0.393,110,115,225,Denver,New Orleans,Loss,224.5,Over,Win,,
LA Lakers,Portland,11/17/23 11:16,114.55,112.302,226.852,0.564,0.436,107,95,202,LA Lakers,LA Lakers,Win,222.5,Over,Loss,,
Phoenix,Utah,11/17/23 11:16,116.198,113.913,230.111,0.564,0.436,131,128,259,Phoenix,Phoenix,Win,236.5,Under,Loss,,
Houston,LA Clippers,11/17/23 11:16,111.746,112.823,224.57,0.469,0.531,100,106,206,LA Clippers,LA,Loss,219,Over,Loss,,
New York,Charlotte,11/18/23 11:19,115.909,110.155,226.064,0.658,0.342,122,108,230,New York,New York,Win,226.5,Under,Loss,,
Minnesota,New Orleans,11/18/23 11:19,113.775,111.694,225.468,0.558,0.442,121,120,241,Minnesota,Minnesota,Win,221.5,Over,Win,,
Miami,Chicago,11/18/23 11:19,110.722,109.925,220.647,0.523,0.477,97,102,199,Miami,Chicago,Loss,214,Over,Loss,,
